UTM campaign,UTM term,Landing page URL,Online store visitors,Pageviews,Sessions that reached checkout,Sessions that completed checkout,Sessions with cart additions,Average session duration,Online store visitors (previous_period),Pageviews (previous_period),Sessions that reached checkout (previous_period),Sessions that completed checkout (previous_period),Sessions with cart additions (previous_period),Average session duration (previous_period)
MOF,MOF+%7C+MUMi,https://vibewithmoi.in/?utm_source=fb&utm_medium=paid&utm_campaign=MOF&utm_content=RV%2B%257C%2BCC&utm_term=MOF%2B%257C%2BMUMi&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR4QfEaIsUcNyRtSSRcTvbSFjMFAVBJzsvC32Tlxhxp899l7WChfZU_7bVkiZQ_aem_f7UQmL-tAF69SYHhjFFlsw,8,11,0,0,0,1.75,0,0,0,0,0,
MOF | Engage,Ad Engage,https://vibewithmoi.in/products/red-mogul-intricate-traditional-silver-tassel-necklace?utm_source=fb&utm_medium=paid&utm_campaign=MOF+%7C+Engage&utm_content=Necklaces+%7C+CC&utm_term=Ad+Engage&placement=Facebook_Mobile_Feed&fbclid=IwAR0r4IigvSmYL9BAli4vef_fzsj-fDCpiwfYHJ5cVobFD5CylL3HK4YKv64_aem_AXTocTYtjgI2Nm-9vs6dzlgBjPIORbIytMIN9g-ZD10xtynK7Gjw2mEh2IEk0Xl1V33rF0MupYBKJCbBjRZxY_W8&campaign_id=23852283901930312&ad_id=23858618524760312,1,2,0,0,0,1.0,0,0,0,0,0,
MOF | Engage,Custom All,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-engagement-ring?utm_source=ig&utm_medium=paid&utm_campaign=MOF+%7C+Engage&utm_content=Juliet+Ring+%7C+SV&utm_term=Custom+All&placement=Instagram_Feed&fbclid=PAAabfmPhPbw0cshmS6ImKUmiG-hZi3V3bn-NOfUTECRqSxTO3XH_shoYWAYU_aem_AST6gI8tQrbliABitXURa83E33QDD3O4dr5WNxBhPFujZBTbUzPQax5n0LwxirpjqFhYR_btAEM0vbvGACxi59Tb&campaign_id=23852272485200312&ad_id=23858618620060312,1,3,0,0,0,,1,1,0,0,0,
Moi - India - Instagram post: Engagement,7 Sep 2025 - a - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=7+Sep+2025&utm_term=7+Sep+2025+-+a+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s05_e7379_c1&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJLlylUkBp7iyH6GYYWSTV3qr6Ip6bEI9gKm64rbPQPHfgSzmyj3ZF5KHtqdkJtl08WNQ_aem_PAYGbxsSqLsLNo9ZSUv1Iw&campaign_id=23852426368070312&ad_id=120232853617320313,25,50,0,0,0,18.08,0,0,0,0,0,
Moi - India - Instagram post: Engagement,7 Sep 2025 - i - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=7+Sep+2025&utm_term=7+Sep+2025+-+i+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s03&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJLy0oOkBpxBrhK_2Q1L04p4h7R_swVTL8PJ5pNE4YDiNuhQ2b3eiG_tBq8ZZl9CNGQ2O_aem_vdNZX28E3TEVXpIbadUMyg&campaign_id=23852426368070312&ad_id=120232853617350313,81,162,0,0,0,25.567901234567902,0,0,0,0,0,
Moi - India - Instagram post: Engagement,9 Sep 2025 - a - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=9+Sep+2025&utm_term=9+Sep+2025+-+a+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s11_e7378&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJMHHJskBpyaeVGv_DmZ_mw2clMNTkFOhIAudtgzQu_hrdi81nWLBlvSPi94Jf5VVwEz9_aem_oSxWCtI5l-2aIqG1yuQ-BQ&campaign_id=23852426368070312&ad_id=120232853754270313,135,232,0,0,0,19.874074074074073,0,0,0,0,0,
Moi - India - Instagram post: Engagement,9 Sep 2025 - i - Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=ig&utm_medium=paid&utm_campaign=Moi+-+India+-+Instagram+post%3A+Engagement&utm_content=9+Sep+2025&utm_term=9+Sep+2025+-+i+-+Reach&placement=Instagram_Feed&utm_id=23852426368070312_v2_s03&fbclid=PAZXh0bgNhZW0BMABhZGlkAasnJL-0wYkBpwxY49b6YOxtMAvTvw9J8xUdpdzYFvbGuQJ2jPKNQeCtVG-QZ_4cdoJUKGj8_aem_HxxaXmmxfYsyqegArEd54w&campaign_id=23852426368070312&ad_id=120232853754300313,270,520,0,0,0,32.50185185185185,0,0,0,0,0,
Moi+-+India+-+Instagram+post%3A+Engagement,7+Sep+2025+-+a+-+Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=fb&utm_medium=paid&utm_campaign=Moi%2B-%2BIndia%2B-%2BInstagram%2Bpost%253A%2BEngagement&utm_content=7%2BSep%2B2025&utm_term=7%2BSep%2B2025%2B-%2Ba%2B-%2BReach&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR4sHGipCoqAm-CAMJrTKnwqZZCfBTKHHX4zKKO3z9EQfOWSH1urt6mxXUD6Iw_aem_f1-eFe3A6hOUvzHqUPd-Nw,5,6,0,0,0,3.0,0,0,0,0,0,
Moi+-+India+-+Instagram+post%3A+Engagement,7+Sep+2025+-+i+-+Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=fb&utm_medium=paid&utm_campaign=Moi%2B-%2BIndia%2B-%2BInstagram%2Bpost%253A%2BEngagement&utm_content=7%2BSep%2B2025&utm_term=7%2BSep%2B2025%2B-%2Bi%2B-%2BReach&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR4NbhzvzRd0AcQefB-RwI4AKxWNtZ-ptUurIdEgcxU7BGdo3l-hKYjRk4S8HA_aem_UH7ICtefrb9kNW0DUPCMhg,4,4,0,0,0,0.0,0,0,0,0,0,
Moi+-+India+-+Instagram+post%3A+Engagement,9+Sep+2025+-+a+-+Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=fb&utm_medium=paid&utm_campaign=Moi%2B-%2BIndia%2B-%2BInstagram%2Bpost%253A%2BEngagement&utm_content=9%2BSep%2B2025&utm_term=9%2BSep%2B2025%2B-%2Ba%2B-%2BReach&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR6_X68aKBG9Ddj4RxVhk5YSFMRaUnAYo3jJVosxsGApYrzMlki4l9HYcQxDYA_aem_D-ziuPqFNgP9_eb0e92Njw,4,6,0,0,0,0.0,0,0,0,0,0,
Moi+-+India+-+Instagram+post%3A+Engagement,9+Sep+2025+-+i+-+Reach,https://vibewithmoi.in/pages/new-arrivals?utm_source=fb&utm_medium=paid&utm_campaign=Moi%2B-%2BIndia%2B-%2BInstagram%2Bpost%253A%2BEngagement&utm_content=9%2BSep%2B2025&utm_term=9%2BSep%2B2025%2B-%2Bi%2B-%2BReach&placement=Facebook_Right_Column&fbclid=IwZXh0bgNhZW0CMTEAAR6RgiCW_SHr3Hq97GcoFrcUfa0w8HIn_N_W8I53oKXc5SbpqFD7G4UilV-ejw_aem_opqYkGIsHBCYDL90BHS14g,4,5,0,0,0,0.0,0,0,0,0,0,
TOF %7C ALL,IND - TRLi,https://vibewithmoi.in/products/phoebe-gold-diamond-and-blue-sapphire-pendant-necklace?variant=40413244850239&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%257C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=IND+-+TRLi&placement=Instagram_Feed&utm_id=120204934414040313_v2_s04_e283&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmPdRyvnkBp4H10Ip6AAF4WhF8JR5YV08Cpx2Tod6dY8o6cJJ4NQb9zsWQbhEddOjK_bds_aem_qR0iv2hGhay2nLao8STKww&campaign_id=120204934414040313&ad_id=120231849970700313,2,2,0,0,0,,1,1,0,0,0,
TOF %7C ALL,T1 - FB - TRLi,https://vibewithmoi.in/products/gaj-elephant-labradorite-pendant-necklace?variant=39476068253759&utm_source=fb&utm_medium=paid&utm_campaign=TOF+%257C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+FB+-+TRLi&placement=Facebook_Mobile_Feed&fbclid=IwYW9leAMjrllleHRuA2FlbQEwAGFkaWQBqyY73gyMGQEeuqQj5HcTH2fxqw6HcAv2-NMAdTLtVv-HLBe4vkb8YZow820jVt9ZgvRcWcc_aem_GhfrWka-dtO1LVtS_lvVtQ&campaign_id=120204934414040313&ad_id=120231853434470313&utm_id=120204934414040313_v2_s01_e283,1,1,0,0,0,,1,1,0,0,0,
TOF %7C ALL,T1 - TRLi,https://vibewithmoi.in/products/june-gold-diamond-and-south-sea-pearl-drop-earrings?variant=32852609269823&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%257C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi&placement=Instagram_Reels&utm_id=120204934414040313_v2_s08_e7257&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmO1O2bHkBp92vIryF78epGe_HtaxaGpEZhizQn90PQ2tYP-3Dx1CcBJspu5gPs54LHp6Y_aem_qc6uBMQ-XMel8ZIvvtkFkg&campaign_id=120204934414040313&ad_id=120231851020990313,5,6,0,0,0,,4,4,0,0,0,
TOF %7C ALL,T1 - TRLi - FEED,https://vibewithmoi.in/products/bridget-gold-and-diamond-ring?variant=39415433494591&utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%257C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi+-+FEED&placement=Instagram_Explore&utm_id=120204934414040313_v2_s02&campaign_id=120204934414040313&ad_id=120231904201740313,8,12,0,0,0,,2,3,0,0,0,
TOF %7C ALL,T2 -  TRLi,https://vibewithmoi.in/products/paris-gold-and-diamond-mini-hoop-earrings?variant=41140052852799&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%257C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120204934414040313_v2_s04_e283&fbclid=PAdGRleAMwkrVleHRuA2FlbQEwAGFkaWQBqyZHtRsreQGnwkTtcsNbfirC-a_npxP9GTpJaNI99-YJKxplJIf_m4Yj1YeUTVUSEYzLmVQ_aem_c6lB3UOC1sCXGFqSTAaKqg&campaign_id=120204934414040313&ad_id=120231849970770313,4,6,0,0,0,,2,3,0,0,0,
TOF %7C CUSTOM %7C AUTO,T1 - INT JWLi,https://vibewithmoi.in/products/ira-diamond-and-pearl-earrings?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%257C+CUSTOM+%257C+AUTO&utm_content=CC+%E2%80%93+BS+%252FTP+%257C+01&utm_term=T1+-+INT+JWLi&placement=Instagram_Feed&utm_id=120209632156470313_v2_s09_e7308&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmOiUy4ZkBp_Uqro62hKj-kdb1GnWoy0UOTRbNlyj8JNJPjFbTgaWyg0ZVRYXS5UDM819-_aem_oEUTrBDqlFuGCn_yeDW1Mw&campaign_id=120209632156470313&ad_id=120231787194570313,0,0,0,0,0,,1,1,0,0,0,0.0
TOF %7C CUSTOM %7C AUTO,T2 - INT JWLi,https://vibewithmoi.in/products/nizam-emerald-and-ruby-ring?utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%257C+CUSTOM+%257C+AUTO&utm_content=CC+%E2%80%93+BS+%252FTP+%257C+01&utm_term=T2+-+INT+JWLi&placement=Instagram_Feed&utm_id=120209632156470313_v2_s66_e14_i20250918&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmOiCaH5kBpwdHk6W2SqNzgJWQ1nJWNEqijWvOgf0qA6JojEAJj2ogP-GvMdZrpKQ147yO_aem_c42YE4sEFsHCDWpi6vXJWw&campaign_id=120209632156470313&ad_id=120231789112320313,1,1,0,0,0,0.0,0,0,0,0,0,
TOF %7C Mumbai,TRLi,https://vibewithmoi.in/products/chicago-gold-diamond-and-pearl-band-ring?variant=40962357198911&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%257C+Mumbai&utm_content=DABA+%E2%80%93+ALL&utm_term=TRLi&placement=Instagram_Feed&utm_id=120227915088340313_v2_s08_e7227_sp_011&fbclid=PAZXh0bgNhZW0BMABhZGlkAasix8YncjkBpzMp9cQ7g8G5fPH50aZMQi8IckoWWJDU0h1NVx_8l-uYPSSvVG41M2fYXojc_aem__EtXGowoYzUFdeBLC48djQ&campaign_id=120227915088340313&ad_id=120228056381340313,0,0,0,0,0,,1,1,0,0,0,0.0
TOF %7C Pune,LUXEi,https://vibewithmoi.in/products/promise-gold-diamond-emerald-and-purple-amethyst-earrings?variant=41284400382015&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%257C+Pune&utm_content=DABA+%E2%80%93+BS+%252FTP&utm_term=LUXEi&placement=Instagram_Reels&utm_id=120227915374980313_v2_s12_e7021_sp_011&fbclid=PAZXh0bgNhZW0BMABhZGlkAaslOeJJe7kBpxuKlE0ZWNRNBNtaaYwMQSlXSsQ_QowGtSpGV8QyfCM20-FEX6jOly0BCTxj_aem_uH_0RrhxIXf1DQkQz8nxZQ&campaign_id=120227915374980313&ad_id=120227915375020313,0,0,0,0,0,,1,1,0,0,0,0.0
TOF | 80k,LUXE | IGi,https://vibewithmoi.in/products/mansa-gold-silver-diamond-amethyst-navratna-and-natural-crystal-necklace?utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+80k&utm_content=80k+CC&utm_term=LUXE+%7C+IGi&placement=Instagram_Feed&utm_id=120214656592760313_v2_s04&campaign_id=120214656592760313&ad_id=120214656680260313,928,1490,0,0,1,,620,1026,0,0,3,
TOF | 80k,OCC – IG,https://vibewithmoi.in/products/memories-gold-and-diamond-photo-pendant-necklace?variant=39318616178751&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+80k&utm_content=80k+DABA&utm_term=OCC+%E2%80%93+IG&placement=Instagram_Feed&fbclid=PAZXh0bgNhZW0BMAABpgeQCqcEGMHVtHrzzsOXHOkJmY8WeAuA21xJpEkyP0Y5itn6PMDW35JFHA_aem_ZiXuKDwTNwWj_bAS8g8gQg&campaign_id=23862230017680312&ad_id=23862230017730312,0,0,0,0,0,,1,1,0,0,0,0.0
TOF | 80k,OCC – IGi,https://vibewithmoi.in/products/felix-gold-silver-ruby-and-sapphire-ring?variant=33007914090559&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+80k&utm_content=80k+DABA+%7C+Rings&utm_term=OCC+%E2%80%93+IGi&placement=Instagram_Reels&utm_id=120214656592760313_v2_s11&campaign_id=120214656592760313&ad_id=120226547029560313,928,1407,1,0,2,,480,869,0,0,3,
TOF | 80k,T1 - HIGHi,https://vibewithmoi.in/products/felix-gold-silver-ruby-and-sapphire-ring?variant=33007914090559&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+80k&utm_content=80k+DABA&utm_term=T1+-+HIGHi&placement=Instagram_Feed&utm_id=120214656592760313_v2_s12_e7245&fbclid=PAZXh0bgNhZW0BMABhZGlkAasmQczr4GkBp1cK4zhAyMqO4Je4EYdEfVllI2TTzy6idKpxwRTwPXqDm8ePvMNlA7oBE5f9_aem_WRRNhNxHg_mHkhJNLRhWiQ&campaign_id=120214656592760313&ad_id=120231878864060313,0,0,0,0,0,,25,42,0,0,0,7.84
TOF | 80k,T1 - LUXEi,https://vibewithmoi.in/products/thea-gold-silver-diamond-emerald-and-blue-enamel-ring?variant=40755177848895&utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%7C+80k&utm_content=80k+DABA&utm_term=T1+-+LUXEi&placement=Instagram_Feed&utm_id=120214656592760313_v2_s02_e283&campaign_id=120214656592760313&ad_id=120231911410540313,1288,2362,0,0,2,,781,1522,1,0,5,
TOF | ALL,HOME - IG,https://vibewithmoi.in/products/kristen-gold-chain-and-diamond-bracelet?variant=39318536257599&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA&utm_term=HOME+-+IG&placement=Instagram_Feed&campaign_id=120204934414040313&ad_id=120207147556850313,0,0,0,0,0,,2,3,0,0,0,0.0
TOF | ALL,IND - TRLi,https://vibewithmoi.in/products/myra-gold-silver-and-uncut-diamond-mini-hoop-earrings?variant=40444534161471&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=IND+-+TRLi&placement=Instagram_Feed&utm_id=120204934414040313_v2_s03_e283&campaign_id=120204934414040313&ad_id=120231849970700313,7571,12608,6,0,13,,5863,9998,5,0,13,
TOF | ALL,INT JWLY - IG,https://vibewithmoi.in/products/venice-gold-morganite-diamond-ring?variant=39807323897919&utm_source=ig&utm_medium=paid&utm_campaign=TOF%20|%20ALL&utm_content=DABA&utm_term=INT%20JWLY%20-%20IG&placement=Instagram_Reels&utm_id=120204934414040313_v2_s02_e233&fbclid=PAZXh0bgNhZW0BMABhZGlkAasdt4co0qkBp8kZpsOoBXY-EHpcF0P6_ll6Lazbj-kW15P2Tswn8cxllDoigS4akaK1eYQL_aem_Tz9pudKj2i2ngJXpDzy96g&campaign_id=120204934414040313&ad_id=120207528377010313,4,16,0,0,0,,3,6,0,0,0,
TOF | ALL,INT JWLY - IGi,https://vibewithmoi.in/products/kiraz-gold-silver-diamond-golden-rutile-and-ruby-drop-earrings?variant=40773743542335&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA&utm_term=INT+JWLY+-+IGi&placement=Instagram_Feed&utm_id=120204934414040313_v2_s03_e233&fbclid=PAZXh0bgNhZW0BMABhZGlkAasfwlpzkwkBp9u9S0HseQAArEfGtS7uHTECe1heWIbiF2rFxF6gBybw4_C5eCauKgbIQWGy_aem_OUTTi0mhp_J6vyi8kv5fTw&campaign_id=120204934414040313&ad_id=120224734389810313,1,2,0,0,0,,1,2,0,0,0,
TOF | ALL,JWLY + TRL - IG,https://vibewithmoi.in/products/nizam-emerald-and-ruby-ring?variant=39484918071359&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA&utm_term=JWLY+%2B+TRL+-+IG&placement=Instagram_Feed&fbclid=PAAaYmxktrDUVhlP4vnLWAjvrQGASuy9qmKLKSGe38I84jMwsupvugN_T2rFg_aem_AfTZc-XwcElQjH5jnP9tMd4h_ZFdKzpX-PkDq6peorUii6iXtyKmL-KzWgLXpQTNO1kGiH2rdrxvwGuFQekaueJS&campaign_id=120204934414010313&ad_id=120204934414020313,0,0,0,0,0,,1,1,0,0,0,0.0
TOF | ALL,MAG - IG,https://vibewithmoi.in/products/alex-gold-diamond-and-ruby-hoop-earrings?variant=40180883226687&utm_source=ig&utm_medium=paid&utm_campaign=TOF%20|%20ALL&utm_content=DABA&utm_term=MAG%20-%20IG&placement=Instagram_Reels&fbclid=PAZXh0bgNhZW0BMABhZGlkAasVTDQI9akBpgfudZ_Rkr-ytdlRPNkOK78M_48zTjm-gWZH2jimvOSACpb7__5L9OQ4qA_aem_ArxF6RAbIj60-bluh4C5Zg&campaign_id=120204934414040313&ad_id=120212948664460313,2,5,0,0,0,,4,7,0,0,0,
TOF | ALL,MAG - IGi,https://vibewithmoi.in/products/paris-champagne-diamond-ring?variant=32852608090175&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+BS+/TP+2&utm_term=MAG+-+IGi&placement=Instagram_Feed&audience=new&utm_id=120204934414040313_v2_s03_e233&fbclid=PAQ0xDSwKwE-lleHRuA2FlbQEwAGFkaWQBqyCIIhYHuQGnnTrXLJnUaF6xH26uoJN3TpXzlil5C_krQ7iInV6xzbTJ4HII-JH9eG20t5c_aem_kXsytUlHZn4IKkTvPHzRkA&campaign_id=120204934414040313&ad_id=120225583912790313,0,0,0,0,0,,1,1,0,0,0,0.0
TOF | ALL,OCC - IG,https://vibewithmoi.in/products/rory-gilmore-diamond-dangling-earrings?variant=32852591181887&utm_source=ig&utm_medium=paid&utm_campaign=TOF%20|%20ALL&utm_content=DABA%20%E2%80%93%20BS%20/TP%202&utm_term=OCC%20-%20IG&placement=Instagram_Reels&fbclid=PAZXh0bgNhZW0BMABhZGlkAasWJdPea9kBpqPWkC8a9KWGINTYN8wBtCwMAJW_3gNl_s7qgNUku21YMX2lvubxWszzJw_aem_tUdJGL06Rn0YdR0D_OHmbA&campaign_id=120204934414040313&ad_id=120213423541700313,1,1,0,0,0,,1,2,0,0,0,
TOF | ALL,T1 - FB - TRLi,https://vibewithmoi.in/products/seher-gold-silver-diamond-and-pearl-earrings?variant=40193605271615&utm_source=fb&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+FB+-+TRLi&placement=Facebook_Mobile_Reels&campaign_id=120204934414040313&ad_id=120231853434470313&utm_id=120204934414040313_v2_s09,5770,9581,4,1,12,,6397,10739,4,0,13,
TOF | ALL,T1 - TRLi,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-studs-earrings?variant=39694535393343&utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi&placement=Instagram_Reels&utm_id=120204934414040313_v2_s01_e283&campaign_id=120204934414040313&ad_id=120231851020990313,875,1201,0,0,0,,7071,9587,3,0,5,
TOF | ALL,T1 - TRLi - FEED,https://vibewithmoi.in/products/michelle-gold-and-diamond-ring?variant=39431752974399&utm_source=facebook&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T1+-+TRLi+-+FEED&placement=Instagram_Feed&utm_id=120204934414040313_v2_s09_e7262&campaign_id=120204934414040313&ad_id=120231904201740313,8583,15626,6,0,12,,6961,13070,0,0,8,
TOF | ALL,T2 -  TRLi,https://vibewithmoi.in/products/kiraz-gold-silver-diamond-golden-rutile-and-ruby-drop-earrings?variant=40773743542335&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA+%E2%80%93+ALL&utm_term=T2+-++TRLi&placement=Instagram_Feed&utm_id=120204934414040313_v2_s07&campaign_id=120204934414040313&ad_id=120231849970770313,6983,11982,7,0,23,,6356,11669,5,0,19,
TOF | ALL,TIFF - IG,https://vibewithmoi.in/products/juliet-gold-diamond-and-ruby-studs-earrings?variant=39694535393343&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA&utm_term=TIFF+-+IG&placement=Instagram_Feed&campaign_id=120204934414040313&ad_id=120207196194100313,4,6,0,0,0,,3,5,0,0,0,
TOF | ALL,TIFF - IGi,https://vibewithmoi.in/products/swirl-pearl-drop-hook-closure-earrings?variant=32852609761343&utm_source=ig&utm_medium=paid&utm_campaign=TOF+%7C+ALL&utm_content=DABA&utm_term=TIFF+-+IGi&placement=Instagram_Reels&utm_id=120204934414040313_v2_s03_e233&fbclid=PAZXh0bgNhZW0BMABhZGlkAasgiCORqzkBp4_UyL4AyXHxx4thjC5NNXuJjfUqAZx0lyJsENEyYU5b_0xS7wIpcUcauiqd_aem_ig1DXUK7b8CVQsZDUH8awQ&campaign_id=120204934414040313&ad_id=120225583912780313,1,1,0,0,0,,1,1,0,0,0,
